"","SYMBOL"
"420","SIPA1"
"421","MIR4690"
"422","ACTE1P"
"423","NADSYN1"
"424","PLEKHB1"
"425","P4HA3"
"426","TENM4"
"427","TRIM49C"
"428","LINC02756"
"429","MRE11"
"430","LOC105369448"
"431","CNTN5"
"432","LOC107984430"
"433","ARHGAP42"
"434","TRPC6"
"435","ANGPTL5"
"436","CEP126"
"437","CFAP300"
"438","YAP1"
"439","LOC105369460"
"440","MMP27"
"441","DYNC2H1"
"442","GUCY1A2"
"443","LOC105369475"
"444","SLC35F2"
"445","EXPH5"
"446","IL18"
"447","PLET1"
"448","PTS"
"449","NXPE1"
"450","NXPE2"
"451","LINC02698"
"452","LOC101928985"
"453","USP2-AS1"
"454","DUXAP5"
"455","MIR100HG"
"456","ST3GAL4"
"457","B4GALNT3"
"458","NINJ2"
"459","ERC1"
"460","CACNA2D4"
"461","LOC105369601"
"462","LOC105369602"
"463","LOC112268103"
"464","CACNA1C"
"465","CRACR2A"
"466","LOC105369617"
"467","PLEKHG6"
"468","TNFRSF1A"
"469","PIANP"
"470","USP5"
"471","TPI1"
"472","C12orf57"
"473","ATN1"
"474","PTPN6"
"475","RNU7-1"
"476","CD163L1"
"477","CD163"
"478","APOBEC1"
"479","CLEC4C"
"480","NANOGNB"
"481","NANOGP1"
"482","SLC2A14"
"483","NECAP1"
"484","LINC02449"
"485","FAM86FP"
"486","LOC112268090"
"487","ENPP7P5"
"488","LOC107987171"
"489","GOT2P3"
"490","LOC374443"
"491","LOC105369728"
"492","CLEC2D"
"493","NPM1P7"
"494","CLECL1"
"495","LINC02390"
"496","CD69"
"497","GCNAP1"
"498","KLRF1"
"499","LRP6"
"500","BCL2L14"
"501","DERA"
"502","PIK3C2G"
"503","LINC02955"
"504","LINC02566"
"505","SOX5"
"506","LMNTD1"
"507","MED21"
"508","C12orf71"
"509","STK38L"
"510","DENND5B"
"511","LOC102724618"
"512","PKP2"
"513","LINC02555"
"514","CNTN1"
"515","PDZRN4"
"516","ADAMTS20"
"517","TMEM117"
"518","NELL2"
"519","RN7SKP289"
"520","LOC107984525"
"521","BAZ2A"
"522","RDH16"
"523","LINC02388"
"524","LOC100506869"
"525","LRIG3-DT"
"526","TAFA2"
"527","TMBIM4"
"528","IRAK3"
"529","HELB"
"530","GRIP1"
"531","CAND1"
"532","IFNG-AS1"
"533","LOC107984526"
"534","IL26"
"535","LOC105369818"
"536","RAP1B"
"537","ATP5PDP4"
"538","SLC35E3"
"539","LOC105369820"
"540","FRS2"
"541","NAP1L1"
"542","LNCOG"
"543","OSBPL8"
"544","ZDHHC17"
"545","LINC02464"
"546","LOC105369855"
"547","NAV3"
"548","LIN7A"
"549","PPFIA2"
"550","TMTC2"
"551","LOC105369881"
"552","C12orf29"
"553","CEP290"
"554","TMTC3"
"555","KITLG"
"556","LOC105369886"
"557","LINC02458"
"558","ATP2B1"
"559","ATP2B1-AS1"
"560","LOC107984543"
"561","LOC105369890"
"562","LINC02822"
"563","EPYC"
"564","LINC02823"
"565","LOC105369898"
"566","LOC105369896"
"567","BTG1-DT"
"568","LOC107984023"
"569","LINC02413"
"570","SOCS2-AS1"
"571","APAF1"
"572","ANKS1B"
"573","MYBPC1"
"574","LOC105369938"
"575","LOC105369937"
"576","CHPT1"
"577","SYCP3"
"578","WASHC3"
"579","PMCH"
"580","HELLPAR"
"581","IGF1"
"582","LOC105369944"
"583","ALDH1L2"
"584","NOPCHAP1"
"585","SLC8B1"
"586","TPCN1"
"587","MIR6762"
"588","LOC107984436"
"589","LINC01234"
"590","TBX5"
"591","KSR2"
"592","LOC105370012"
"593","RPL22P19"
"594","DHX37"
"595","TMEM132B"
"596","LINC02441"
"597","PUS1"
"598","GALNT9"
"599","LOC100130238"
"600","LOC105370092"
"601","LOC112268102"
"602","MUC8"
"603","FBRSL1"
"604","ANKLE2"
"605","ZNF84"
"606","ATP8A2"
"607","PRUNEP1"
"608","ATP8A2P3"
"609","NBEA"
"610","SLC25A30"
"611","TPT1-AS1"
"612","COG3"
"613","LOC105370191"
"614","LCP1"
"615","CYSLTR2"
"616","SPRYD7"
"617","LOC105370214"
"618","PCDH17"
"619","LINC02338"
"620","LOC105370220"
"621","HMGN2P39"
"622","LINC00355"
"623","PCDH9"
"624","OR7E33P"
"625","OR7E111P"
"626","LINC00383"
"627","LOC105370263"
"628","GPC5"
"629","STK24"
"630","STK24-AS1"
"631","UBAC2"
"632","H2AZP3"
"633","LOC101927437"
"634","PCCA"
"635","LOC107984575"
"636","PCCA-AS1"
"637","LOC107984574"
"638","NALCN-AS1"
"639","NALCN"
"640","FGF14"
"641","FGF14-IT1"
"642","LOC107984615"
"643","LOC107984606"
"644","LOC107984607"
"645","NALF1"
"646","NALF1-IT1"
"647","LOC107984581"
"648","TNFSF13B"
"649","RNA5SP39"
"650","MYO16"
"651","LOC105370363"
"652","SPACA7BP"
"653","LOC105370364"
"654","SOX1-OT"
"655","LOC105378193"
"656","NF1P11"
"657","OR4K6P"
"658","RNASE3"
"659","LOC100507513"
"660","RNASE2CP"
"661","TRAV8-7"
"662","STXBP6"
"663","PRKD1"
"664","STRN3"
"665","MIR624"
"666","SPTSSA"
"667","EGLN3"
"668","SRP54-AS1"
"669","PPP2R3C"
"670","FAM177A1"
"671","LOC101927178"
"672","PRORP"
"673","RPL23AP70"
"674","RALGAPA1"
"675","SLC25A21"
"676","MIPOL1"
"677","TTC6"
"678","LINC00517"
"679","LOC105370456"
"680","LOC112268136"
"681","LINC00639"
"682","SEC23A"
"683","LOC105370467"
"684","LINC02277"
"685","RRAGAP1-AS1"
"686","C14orf28"
"687","LOC101927418"
"688","TOGARAM1"
"689","KLHL28"
"690","LOC105370476"
"691","LINC00871"
"692","MDGA2"
"693","LOC105378178"
"694","LOC107984676"
"695","PELI2"
"696","GPHN"
"697","TMEM229B"
"698","LOC105370542"
"699","SLC8A3"
"700","MAP3K9"
"701","RN7SL530P"
"702","LIN52"
"703","SYNDIG1L"
"704","FOXN3"
"705","TCL1B"
"706","TCL6"
"707","TUNAR"
"708","C14orf132"
"709","HHIPL1"
"710","REREP3"
"711","LOC101928039"
"712","PDCD6IPP1"
"713","MKRN3"
"714","FAM189A1"
"715","WHAMMP4"
"716","LINC02256"
"717","LOC105376704"
"718","LOC112268159"
"719","LOC105376709"
"720","KATNBL1"
"721","GOLGA8B"
"722","MIR1233-2"
"723","DNM1P5"
"724","FSIP1"
"725","LOC105370785"
"726","LOC105370791"
"727","MGA"
"728","SORD"
"729","LOC105370802"
"730","TMOD2"
"731","MAPK6"
"732","LOC112268149"
"733","GNB5"
"734","MYO5C"
"735","FAM214A"
"736","TLN2"
"737","CSNK1G1"
"738","CORO2B"
"739","CTXND1"
"740","DET1"
"741","LOC105370965"
"742","AP3S2"
"743","ARPIN-AP3S2"
"744","LOC112268156"
"745","IGF1R"
"746","CHSY1"
"747","PCSK6"
"748","RAB26"
"749","PRSS22"
"750","GLYR1"
"751","UBN1"
"752","PPL"
"753","GPRC5B"
"754","IQCK"
"755","ZKSCAN2"
"756","ZKSCAN2-DT"
"757","GTF3C1"
"758","SBK1"
"759","CCNYL3"
"760","CLUHP11"
"761","VN1R68P"
"762","VN1R69P"
"763","LOC112268173"
"764","TP53TG3GP"
"765","LOC105371200"
"766","AGGF1P8"
"767","ANKRD26P1"
"768","SHCBP1"
"769","VPS35"
"770","MYLK3"
"771","TENT4B"
"772","SNORA70"
"773","RPL10P14"
"774","LOC102723323"
"775","CHD9"
"776","FTO"
"777","IRX3"
"778","LINC00922"
"779","ELMO3"
"780","E2F4"
"781","MIR328"
"782","ZNF19"
"783","LOC105371335"
"784","IST1"
"785","CHST5"
"786","MON1B"
"787","SYCE1L"
"788","ADAMTS18"
"789","VAT1L"
"790","PPIAP50"
"791","LOC105371351"
"792","WWOX"
"793","PKD1L2"
"794","MPHOSPH6"
"795","CDH13"
"796","ATP2C2"
"797","MEAK7"
"798","COTL1"
"799","SNAI3"
"800","SNAI3-AS1"
"801","ACSF3"
"802","DEF8"
"803","SNORA119"
"804","LOC107987382"
"805","RAP1GAP2"
"806","OR1A1"
"807","ITGAE"
"808","NCBP3"
"809","ATP2A3"
"810","ZZEF1"
"811","RNA5SP434"
"812","UBE2G1"
"813","SPNS3"
"814","TMEM95"
"815","KCTD11"
"816","ACAP1"
"817","MYH2"
"818","MYHAS"
"819","MYH3"
"820","KRT18P55"
"821","TNFAIP1"
"822","IFT20"
"823","ASIC2"
"824","FBXL20"
"825","PNMT"
"826","PGAP3"
"827","TCAP"
"828","PSMD3"
"829","MSL1"
"830","CCR7"
"831","CALCOCO2"
"832","ZNF652"
"833","MIR6129"
"834","FLJ40194"
"835","FAM117A"
"836","ABCC3"
"837","ANKRD40"
"838","SPAG9"
"839","MBTD1"
"840","UTP18"
"841","LINC02073"
"842","CA10"
"843","LOC101927389"
"844","SRSF1"
"845","MPO"
"846","LPO"
"847","RNF43"
"848","TSPOAP1-AS1"
"849","TEX14"
"850","U3"
"851","LOC105371842"
"852","PPM1E"
"853","LOC105371843"
"854","Metazoa_SRP"
"855","LINC01476"
"856","CLTC"
"857","VMP1"
"858","RPS6KB1"
"859","USP32"
"860","H3P42"
"861","LINC01999"
"862","BCAS3"
"863","TLK2"
"864","TEX2"
"865","CEP95"
"866","C17orf58"
"867","FAM20A"
"868","PRKAR1A"
"869","LOC105371873"
"870","LINC01028"
"871","KCNJ16"
"872","LOC105371881"
"873","LOC105371884"
"874","CD300LD-AS1"
"875","CD300LD"
"876","RNF157"
"877","QRICH2"
"878","PRPSAP1"
"879","AANAT"
"880","UBE2O"
"881","CYGB"
"882","PRCD"
"883","LOC400622"
"884","RBFOX3"
"885","CCDC40"
"886","CARD14"
"887","RPH3AL"
"888","LINC02091"
"889","DOC2B"
"890","COLEC12"
"891","LOC107985155"
"892","L3MBTL4"
"893","THEMIS3P"
"894","RAB31"
"895","ANKRD29"
"896","LAMA3"
"897","TTC39C"
"898","AQP4-AS1"
"899","LOC107985143"
"900","FHOD3"
"901","LINC01901"
"902","LINC01902"
"903","LINC00907"
"904","RIT2"
"905","SLC14A2"
"906","SLC14A2-AS1"
"907","LOC105372093"
"908","ST8SIA5-DT"
"909","KATNAL2"
"910","ELOA2"
